Woord;Positive;Negative;Trust;Surprise;Joy;Sadness;Fear;Disgust;Anger;Anticipation
dagdromen;0;0;0;0;0;0;0;0;0;0
dagelijks;0;0;0;0;0;0;0;0;0;1
dageraad;1;0;1;1;1;0;0;0;0;1
dagvaarding;0;1;0;0;0;0;0;0;0;0
dak;0;0;0;0;0;0;0;0;0;0
dakje;0;0;0;0;0;0;0;0;0;0
dal;0;0;0;0;0;0;0;0;0;0
dam;0;0;0;0;0;0;0;0;0;0
damspel;0;0;0;0;0;0;0;0;0;0
dandy;0;1;0;0;0;0;0;1;0;0
dankbaarheid;1;0;0;0;1;0;0;0;0;0
dankzegging;1;0;0;0;1;0;0;0;0;0
dans;1;0;1;0;1;0;0;0;0;0
danser;0;0;0;0;0;0;0;0;0;0
danszaal;0;0;0;0;0;0;0;0;0;0
dapper;1;0;0;0;0;0;0;0;0;0
dapperheid;1;0;1;0;0;0;0;0;0;0
dar;0;1;0;0;0;0;0;0;0;0
darm;0;0;0;0;0;0;0;1;0;0
dartelen;1;0;0;0;1;0;0;0;0;0
das;0;1;0;0;0;0;0;0;1;0
dashboard;0;0;0;0;0;0;0;0;0;0
databank;0;0;0;0;0;0;0;0;0;0
datum;0;0;0;0;0;0;0;0;0;0
dauw;0;0;0;0;0;0;0;0;0;0
de mijne;0;0;0;0;0;0;0;0;0;0
deactiveren;0;1;0;0;0;0;0;0;0;0
debacle;0;1;0;0;0;1;1;0;0;0
debat;1;0;0;0;0;0;0;0;0;0
debet;0;0;0;0;0;0;0;0;0;0
debuut;0;0;0;0;0;0;0;0;0;0
decaan;0;0;0;0;0;0;0;0;0;0
decennium;0;0;0;0;0;0;0;0;0;0
decimale;0;0;0;0;0;0;0;0;0;0
declinatie;0;1;0;0;0;0;0;0;0;0
decoratie;0;0;0;0;0;0;0;0;0;0
decreet;0;0;0;0;0;0;0;0;0;0
decrement;0;1;0;0;0;0;0;0;0;0
deeg;0;0;0;0;0;0;0;0;0;0
deel;0;0;0;0;0;0;0;0;0;0
deelbaar;0;0;0;0;0;0;0;0;0;0
deelname;1;0;0;0;0;0;0;0;0;0
deeltje;0;0;0;0;0;0;0;0;0;0
defect;0;1;0;0;0;0;0;0;1;0
defectief;0;1;0;0;0;0;0;1;0;0
defensie;1;0;0;0;0;0;1;0;1;1
defensief;0;0;0;0;0;0;0;0;0;0
definiëren;0;0;0;0;0;0;0;0;0;0
definitie;0;0;0;0;0;0;0;0;0;0
definitief;1;0;1;0;0;0;0;0;0;0
deflatie;0;1;0;0;0;0;1;0;0;0
deflatie veroorzaken;0;1;0;0;0;1;0;0;1;0
degeneratie;0;1;0;0;0;1;0;1;1;0
degraderen;0;1;0;0;0;0;0;1;0;0
deining;0;0;0;0;0;0;0;0;0;0
dek;0;0;0;0;0;0;0;0;0;0
deken;0;0;1;0;0;0;0;0;0;0
deksel;0;0;1;0;0;0;0;0;0;0
delegatie;0;0;0;0;0;0;0;0;0;0
deler;0;0;0;0;0;0;0;0;0;0
deliberatieve;0;0;0;0;0;0;0;0;0;0
delinquent;0;1;0;0;0;0;0;1;1;0
delinquentie;0;1;0;0;0;0;0;0;0;0
delirium;0;1;0;0;0;1;0;1;0;0
delta;0;0;0;0;0;0;0;0;0;0
delven;0;0;0;0;0;0;0;0;0;0
democraat;0;0;0;0;0;0;0;0;0;0
democratie;1;0;0;0;0;0;0;0;0;0
demon;0;1;0;1;0;1;1;1;1;0
demonisch;0;1;0;0;0;1;1;1;1;0
demonstratie;0;0;0;0;0;0;0;0;0;0
demonstrating;0;0;0;0;0;0;0;0;0;0
demonstreren;0;0;0;0;0;0;0;0;0;0
demos;0;0;0;0;0;0;0;0;0;0
demper;0;1;0;0;0;0;0;0;0;0
demping;0;1;0;0;0;1;0;0;0;0
denigrerende;0;1;0;0;0;1;1;1;1;0
denkbaar;0;0;0;0;0;0;0;0;0;0
denkbeeldig;0;0;0;0;0;0;0;0;0;0
deodorant;0;0;0;0;0;0;0;0;0;0
deportatie;0;1;0;0;0;1;1;0;1;0
deporteren;0;1;0;0;0;1;1;0;0;0
depot;0;0;0;0;0;0;0;0;0;0
depreciëren;0;1;0;0;0;0;0;1;1;0
depressie;0;1;0;0;0;1;0;0;0;0
depressieve;0;1;0;0;0;1;0;0;0;0
deprimeren;0;1;0;0;0;1;1;0;0;0
deprimerend;0;1;0;0;0;1;0;1;0;0
dermatologie;0;0;0;0;0;0;0;0;0;0
dermatologist;0;0;1;0;0;0;0;0;0;0
dertien;0;0;0;0;0;0;0;0;0;0
desertie;0;1;0;0;0;0;0;0;0;0
desinfecteren;0;0;0;0;0;0;0;0;0;0
desinvestering;0;1;0;0;0;0;0;0;0;0
despotisch;0;1;0;0;0;0;1;0;0;0
despotisme;0;1;0;0;0;1;1;1;1;0
dessert;0;0;0;0;0;0;0;0;0;0
destillaat;0;0;0;0;0;0;0;0;0;0
detachement;0;1;0;0;0;0;0;0;0;0
detail;0;0;0;0;0;0;0;0;0;0
Details;0;0;0;0;0;0;0;0;0;0
detecteerbaar;0;0;0;0;0;0;0;0;0;0
detective;0;0;0;0;0;0;0;0;0;0
detector;0;0;0;0;0;0;0;0;0;0
detineren;0;1;0;0;0;0;0;0;0;0
deugd;1;0;1;0;0;0;0;0;0;0
deugdzaam;1;0;1;0;1;0;0;0;0;0
deuk;0;0;0;0;0;0;0;0;0;0
deuntje;1;0;0;0;1;0;0;0;0;0
deur;0;0;0;0;0;0;0;0;0;0
deuropening;0;0;0;0;0;0;0;0;0;0
deurwaarder;0;1;1;0;0;0;1;0;0;0
devolutie;0;1;0;0;0;0;0;0;0;0
dextrose;0;0;0;0;0;0;0;0;0;0
diafragma;0;0;0;0;0;0;0;0;0;0
diagnose;0;1;1;0;0;0;1;0;0;1
diagnostiek;0;0;0;0;0;0;0;0;0;0
diagnostisch;0;0;0;0;0;0;0;0;0;0
diagram;0;0;0;0;0;0;0;0;0;0
diaken;0;0;1;0;0;0;0;0;0;0
dialekt;0;0;0;0;0;0;0;0;0;0
dialektiek;0;0;0;0;0;0;0;0;0;0
dialoog;0;0;0;0;0;0;0;0;0;0
diamant;1;0;0;0;1;0;0;0;0;0
diameter;0;0;0;0;0;0;0;0;0;0
diarree;0;0;0;0;0;0;0;1;0;0
dichotome;0;0;0;0;0;0;0;0;0;0
dichotomie;0;0;0;0;0;0;0;0;0;0
dicht;0;0;0;0;0;0;0;0;0;0
dichter;0;0;0;0;0;0;0;0;0;0
dichtheid;0;0;0;0;0;0;0;0;0;0
dictator;0;1;0;0;0;0;1;0;0;0
dictatoriaal;0;1;0;0;0;0;0;0;1;0
dictatuur;0;1;0;0;0;1;1;1;1;1
dictee;0;0;0;0;0;0;0;0;0;0
dicteren;0;0;0;0;0;0;0;0;0;0
dictie;0;0;0;0;0;0;0;0;0;0
dictum;0;0;1;0;0;0;0;0;0;0
didactisch;1;0;0;0;0;0;0;0;0;0
dieet;0;0;0;0;0;0;0;0;0;0
dieet-;1;0;0;0;0;0;0;0;0;1
dief;0;1;0;1;0;1;1;1;1;0
dienaar;0;1;1;0;0;0;0;0;0;0
dienblad;0;0;0;0;0;0;0;0;0;0
dienst;0;0;1;0;0;0;0;0;0;0
dienstplicht;0;0;0;0;0;0;0;0;0;0
diepte;1;0;1;0;0;0;0;0;0;0
dier;0;0;0;0;0;0;0;0;0;0
dierentuin;0;0;0;0;0;0;0;0;0;0
differentiaal;0;0;1;0;0;0;0;0;0;0
differentiatie;0;0;0;0;0;0;0;0;0;0
diffuus;0;0;0;0;0;0;0;0;0;0
dijk;0;0;0;0;0;0;1;0;0;0
dik;0;0;0;0;0;0;0;0;0;0
dikke darm;0;0;0;0;0;0;0;0;0;0
dilemma;0;0;0;0;0;0;0;0;0;0
dimensie;0;0;0;0;0;0;0;0;0;0
diner;1;0;0;0;0;0;0;0;0;0
dineren;0;0;0;0;0;0;0;0;0;0
ding;0;0;0;0;0;0;0;0;0;0
dingen;0;0;0;0;0;0;0;0;0;0
dinosaurus;0;0;0;0;0;0;1;0;0;0
dint;0;0;0;0;0;0;0;0;0;0
diocesane;0;0;0;0;0;0;0;0;0;0
diorama;0;0;0;0;0;0;0;0;0;0
diploma;0;0;0;0;0;0;0;0;0;0
diplomaat;0;0;0;0;0;0;0;0;0;0
diplomatie;1;0;1;0;0;0;0;0;0;1
diplomatisch;1;0;1;0;0;0;0;0;0;0
direct;0;0;0;0;0;0;0;0;0;0
directeur;1;0;1;0;0;0;0;0;0;0
directory;0;0;0;0;0;0;0;0;0;0
dirigent;0;0;0;0;0;0;0;0;0;0
discipel;0;0;1;0;0;0;0;0;0;0
discipline;0;1;0;0;0;0;1;0;0;0
discontinue;0;0;0;0;0;0;0;0;0;0
discontinuïteit;0;1;0;0;0;1;1;1;0;0
discreet;1;0;0;0;0;0;0;0;0;1
discretionaire;1;0;0;0;0;0;0;0;0;0
discriminatie;0;1;0;0;0;1;1;1;1;0
discus;0;0;0;0;0;0;0;0;0;0
discussie;1;0;0;0;0;0;0;0;0;0
disinformatie;0;1;0;0;0;0;1;0;1;0
diskette;0;0;0;0;0;0;0;0;0;0
diskrediet;0;1;0;0;0;0;0;0;0;0
diskwalificatie;0;1;0;0;0;0;0;0;0;0
diskwalificeren;0;1;0;0;0;1;0;0;0;0
dispensatie;0;0;0;0;0;0;0;0;0;0
dispersie;0;1;0;0;0;0;0;0;0;0
dissenting;0;1;0;0;0;0;0;0;0;0
dissident;0;1;0;0;0;0;1;0;1;0
dissociatie;0;0;0;0;0;0;0;0;0;0
dissonant;0;1;0;0;0;0;0;0;1;0
distale;0;0;0;0;0;0;0;0;0;0
distillatie;1;0;0;0;0;0;0;0;0;0
distributie;0;0;0;0;0;0;0;0;0;0
divan;0;0;1;0;0;1;0;0;0;0
divergerende;0;0;0;0;0;0;0;0;0;0
diversifiëren;0;0;0;0;0;0;0;0;0;0
dividend;0;0;0;0;0;0;0;0;0;0
divisie;0;0;0;0;0;0;0;0;0;0
dobbelen;0;0;0;0;0;0;0;0;0;0
dochter;1;0;0;0;1;0;0;0;0;0
document;0;0;0;0;0;0;0;0;0;0
documentaire;0;0;0;0;0;0;0;0;0;0
dodelijk;0;1;0;0;0;1;1;1;1;0
doden;0;1;0;0;0;1;1;0;0;0
doe het;0;1;0;0;0;0;0;0;0;0
doedelzak;0;0;0;0;0;0;0;0;0;0
doek;0;0;0;0;0;0;0;0;0;0
doel;0;0;0;0;0;0;0;0;0;0
doelloos;0;1;0;0;0;0;0;0;0;0
doelmatig;1;0;1;0;1;0;0;0;0;0
doelmatigheid;0;0;0;0;0;0;0;0;0;0
doeltreffend;1;0;1;0;0;0;0;0;0;1
doelwit;0;0;0;0;0;0;0;0;0;0
doen alsof;0;1;0;0;0;0;0;0;0;0
doen en laten;0;0;0;0;0;0;0;0;0;0
doen ontsporen;0;0;0;0;0;0;0;0;0;0
dof;0;1;0;0;0;1;0;0;0;0
dogma;0;0;1;0;0;0;0;0;0;0
dogmatisch;0;0;0;0;0;0;0;0;0;0
dok;0;0;0;0;0;0;0;0;0;0
dokter;1;0;1;0;0;0;0;0;0;0
doldrums;0;1;0;0;0;1;0;0;0;0
dolfijn;1;0;1;1;1;0;0;0;0;0
dolk;0;1;0;0;0;0;1;0;0;0
dollar;0;0;0;0;0;0;0;0;0;0
dom;0;1;0;0;0;0;0;0;0;0
domein;0;0;0;0;0;0;0;0;0;0
dominant;0;1;0;0;0;0;1;0;0;0
dominerende;0;0;0;0;0;0;0;0;0;0
domino;0;0;0;0;0;0;0;0;0;0
domoor;0;1;0;0;0;0;0;0;0;0
don;1;0;1;0;0;0;0;0;0;0
donder;0;0;0;0;0;0;0;0;0;0
donker;0;0;0;0;0;1;0;0;0;0
donut;0;0;0;0;0;0;0;0;0;0
donzig;1;0;0;0;0;0;0;0;0;0
dood;0;1;0;1;0;1;1;1;1;1
doodle;0;1;0;0;0;0;0;0;0;0
doodsangst;0;1;0;0;0;1;1;0;1;0
doof;0;1;0;0;0;0;0;0;0;0
doofheid;0;0;0;0;0;0;0;0;0;0
dooi;0;0;0;0;0;0;0;0;0;0
doolhof;0;0;0;0;0;0;0;0;0;0
doop;1;0;0;0;1;0;0;0;0;0
doopvont;0;0;0;0;0;0;0;0;0;0
door Bell;0;0;0;0;0;0;0;0;0;0
doordringen;0;1;0;0;0;0;1;0;1;0
doorgronden;0;0;0;0;0;0;0;0;0;0
doorlopend;0;0;0;0;0;0;0;0;0;0
doorn;0;1;0;0;0;0;0;0;0;0
doorschakelen;0;0;0;0;0;0;0;0;0;0
doorspoelen;1;0;0;0;0;0;0;0;0;0
doortrapt;1;0;0;0;0;0;0;0;0;0
doorwaadbare plaats;0;0;0;0;0;0;0;0;0;0
doorzichtig;0;0;0;0;0;0;0;0;0;0
doos;0;0;0;0;0;0;0;0;0;0
dor;0;1;0;0;0;1;0;0;0;0
dorp;0;0;0;0;0;0;0;0;0;0
dorsal;0;0;0;0;0;0;0;0;0;0
dorst;0;0;0;1;0;1;0;0;0;1
dosis;0;0;0;0;0;0;0;0;0;0
doublet;0;0;0;0;0;0;0;0;0;0
douche;0;1;0;0;0;0;0;0;0;0
dozijn;0;0;0;0;0;0;0;0;0;0
draad;0;0;0;0;0;0;0;0;0;0
draadloze;1;0;0;1;0;0;0;0;1;1
draadvormige;0;0;0;0;0;0;0;0;0;0
draai;0;0;0;0;0;0;0;0;0;0
draaikolk;0;0;0;0;0;0;0;0;0;0
draak;0;0;0;0;0;0;1;0;0;0
dragen;0;0;0;0;0;0;1;0;1;0
draineren;0;0;0;0;0;0;0;0;0;0
drama;0;0;0;0;0;0;0;0;0;0
dramatisch;0;0;0;0;0;0;0;0;0;0
drank;1;1;0;0;1;1;0;0;1;0
draperen;0;0;0;0;0;0;0;0;0;0
draperie;0;0;0;0;0;0;0;0;0;0
drastisch;0;0;0;0;0;0;0;0;0;0
dreef;0;0;0;0;0;0;0;0;0;0
dreigend;0;1;0;0;0;0;1;1;1;0
drempel;0;0;0;0;0;0;0;0;0;0
Drenched;0;0;0;0;0;0;0;0;0;0
dribbelen;0;0;0;0;0;0;0;0;0;0
driehoek;0;0;0;0;0;0;0;0;0;0
drift;0;0;0;0;0;0;0;0;0;0
drijvend;0;1;0;0;0;1;1;0;0;1
drinken;0;1;0;0;0;0;0;0;0;0
droefenis;0;1;0;0;0;1;1;1;0;0
droefheid;0;1;0;0;0;1;1;0;0;0
droevig;0;1;0;0;0;1;0;0;0;0
dromen;0;0;0;0;0;0;0;0;0;0
dromer;0;0;0;0;0;0;0;0;0;0
dromerig;0;0;0;0;0;0;0;0;0;0
drommel;0;0;0;0;0;0;0;0;0;0
dronken;0;1;0;0;0;0;0;1;0;0
dronkenschap;0;1;0;0;0;0;0;0;0;0
droog;0;0;0;0;0;0;0;0;0;0
droogheid;0;0;0;0;0;0;0;0;0;0
droogmachine;0;0;0;0;0;0;0;0;0;0
droogte;0;1;0;0;0;0;0;0;0;0
drop;0;0;0;0;0;0;0;0;0;0
drug;0;0;0;0;0;0;0;0;0;0
Druïde;0;0;0;0;0;0;0;0;0;0
druipende;0;0;0;0;0;0;0;0;0;0
druiven;0;0;0;0;0;0;0;0;0;0
druk;0;1;0;0;0;0;0;0;0;0
drukfout;0;1;0;0;0;0;0;0;0;0
drukte;0;0;0;0;0;0;0;0;0;0
drummen;0;0;0;0;0;0;0;0;0;0
druppel;0;0;0;0;0;0;0;0;0;0
druppelen;0;0;0;0;0;0;0;0;0;0
dualisme;0;0;0;0;0;0;0;0;0;0
dub;0;0;0;0;0;0;0;0;0;0
dubbel;0;0;0;0;0;0;0;0;0;0
dubbele;0;0;0;0;0;0;0;0;0;0
dubbelhartigheid;0;1;0;0;0;0;0;0;1;0
dubbeltje;0;0;0;0;0;0;0;0;0;0
dubbelzinnig;0;1;0;0;0;0;0;0;0;0
dubbelzinnigheid;0;0;0;0;0;0;0;0;0;0
ducking;0;0;0;0;0;0;0;0;0;0
duel;0;0;0;0;0;0;1;0;1;1
duet;1;0;0;0;0;0;0;0;0;0
dugout;0;0;0;0;0;0;0;0;0;0
duidelijk;1;0;1;0;0;0;0;0;0;0
duidelijkheid;1;0;0;0;0;0;0;0;0;0
duif;1;1;1;0;1;0;0;0;0;1
duiken;0;0;0;0;0;0;0;0;0;0
duiker;0;0;0;0;0;0;0;0;0;0
duim;0;0;0;0;0;0;0;0;0;0
duin;0;0;0;0;0;0;0;0;0;0
duisternis;0;1;0;0;0;1;1;0;1;0
Duitse;0;0;0;0;0;0;0;0;0;0
duivel;0;1;0;0;0;1;1;1;1;1
duivels;0;1;0;0;0;0;1;1;1;0
duizelig;0;1;0;0;0;0;0;0;0;0
duizeligheid;0;1;0;0;0;0;1;0;0;0
duizend;0;0;0;0;0;0;0;0;0;0
dun;0;0;0;0;0;0;0;0;0;0
duo;0;0;0;0;0;0;0;0;0;0
dupe;0;1;0;0;0;0;0;0;1;0
duplicaat;0;0;0;0;0;0;0;0;0;0
durven;0;0;1;0;0;0;0;0;0;1
dutje;1;0;0;0;1;0;0;0;0;0
dutten;0;0;0;0;0;0;0;0;0;0
duur;0;0;0;0;0;0;0;0;0;0
duurzaam;1;0;1;0;0;0;0;0;0;0
duurzaamheid;1;0;1;0;0;0;0;0;0;0
duw;0;0;0;0;0;0;0;0;0;0
dwaas;0;1;0;0;0;0;0;1;0;0
dwaasheid;0;1;0;0;0;0;0;0;0;0
dwalen;0;1;0;0;0;0;0;0;0;0
dwalend;0;1;0;0;0;0;0;0;0;0
dwang;0;1;0;0;0;1;1;1;1;0
dwang-;0;0;0;0;0;0;0;0;0;0
dwars;0;1;0;0;0;1;0;0;1;0
dwerg;0;0;0;0;0;0;0;0;0;0
dwingen;0;1;0;0;0;0;1;1;1;0
dwingende;1;0;0;0;0;0;0;0;0;0
dynamica;0;0;0;0;0;0;0;0;0;0
dynamiet;0;0;0;0;0;0;0;0;0;0
dynamisch;0;0;0;1;0;0;0;0;0;0
dynamische;0;0;0;0;0;0;0;0;0;0
dynastie;0;0;0;0;0;0;0;0;0;0
dysenterie;0;1;0;0;0;1;0;1;0;0
eb;0;0;0;0;0;0;0;0;0;0
ebbehout;0;0;0;0;0;0;0;0;0;0
echo;0;0;0;0;0;0;0;0;0;0
echt;1;0;1;0;0;0;0;0;0;0
echtelijk;0;0;0;0;0;0;0;0;0;0
echtgenote;0;0;0;0;0;0;0;0;0;0
echtheid;1;0;1;0;0;0;0;0;0;0
echtscheiding;0;1;1;1;0;1;1;1;1;0
eclectisch;0;0;0;0;0;0;0;0;0;0
eclips;0;0;0;0;0;0;0;0;0;0
ecliptica;0;0;0;0;0;0;0;0;0;0
economie;0;0;1;0;0;0;0;0;0;0
edict;0;1;0;0;0;0;1;0;0;0
editie;0;0;0;0;0;0;0;0;0;1
editor;0;0;0;0;0;0;0;0;0;0
een A;0;0;0;0;0;0;0;0;0;0
een hoofd;1;0;0;0;0;0;0;0;0;0
een nieuwe;0;0;0;0;0;0;0;0;0;0
een stuk;0;0;0;0;0;0;0;0;0;0
een versie;0;1;0;0;0;0;1;1;1;0
eendracht;1;0;1;0;0;0;0;0;0;0
eenheid;1;0;1;0;0;0;0;0;0;0
eenvoudig;0;0;0;0;0;0;0;0;0;0
eenzaam;0;1;0;0;0;1;1;1;1;0
eer;1;0;1;0;0;0;0;0;0;0
eerbetoon;1;0;0;0;0;0;0;0;0;0
eerbied;1;0;1;0;1;0;0;0;0;1
eerbiedwaardig;1;0;1;0;1;0;0;0;0;1
eerder;0;0;0;0;0;0;0;0;0;0
eerlijk;1;0;1;0;1;1;1;1;1;0
eerlijkheid;1;0;1;0;0;0;0;0;0;0
eerstgeborene;1;0;1;0;1;0;0;0;0;1
eertijds;0;0;0;0;0;0;0;0;0;0
eervol;1;0;1;0;0;0;0;0;0;0
eerzuchtig;1;0;1;0;1;0;0;0;0;1
eetbaar;0;0;0;0;0;0;0;0;0;0
eetlust;0;0;0;0;0;0;0;0;0;0
eeuw;0;0;0;0;0;0;0;0;0;0
eeuwfeest;0;0;0;0;0;0;0;0;0;0
eeuwig;0;0;0;0;0;0;0;0;0;0
eeuwigdurend;1;0;0;0;0;0;0;0;0;0
eeuwigheid;0;0;0;0;0;0;0;0;0;0
effect;0;0;0;0;0;0;0;0;0;0
effecten;0;0;0;0;0;0;0;0;0;0
effectief;1;0;1;0;0;0;0;0;0;0
ego;0;0;0;0;0;0;0;0;0;0
egoïstisch;0;1;0;0;0;0;0;1;1;0
egoïstische;0;1;0;0;0;0;0;1;0;0
ei;0;0;0;0;0;0;0;0;0;0
eierdooier;0;0;0;0;0;0;0;0;0;0
eigenaardig;0;0;0;0;0;0;0;0;0;0
eigendom;1;0;0;0;0;0;0;0;0;0
eigenschap;0;0;0;0;0;0;0;0;0;0
eiland;0;0;0;0;0;0;0;0;0;0
einde;0;1;0;0;0;1;0;0;0;0
eindelijk;1;0;1;1;1;0;0;1;0;1
eindeloos;1;1;1;0;1;1;1;0;1;0
eindigde;0;0;0;0;0;0;0;0;0;0
eindige;0;0;0;0;0;0;0;0;0;0
eindpunt;0;0;0;0;0;0;0;0;0;0
eis;0;0;0;0;0;0;0;0;0;0
eiser;0;0;0;0;0;0;0;1;1;0
eiwit;0;0;0;0;0;0;0;0;0;0
ejaculaat;0;0;0;0;0;0;0;0;0;0
ejaculatie;1;0;1;1;1;0;0;0;0;1
el;0;0;0;0;0;0;0;0;0;0
eland;0;0;0;0;0;0;0;0;0;0
elasticiteit;0;0;0;0;0;0;0;0;0;0
elastisch;0;0;0;0;0;0;0;0;0;0
eld;0;0;0;0;0;0;0;0;0;0
elegant;1;0;0;0;1;0;0;0;0;0
elegantie;1;0;1;0;1;0;0;0;0;1
elektriciteit;1;0;0;0;0;0;0;0;0;0
elektrisch;1;0;0;1;1;0;0;0;0;0
element;0;0;0;0;0;0;0;0;0;0
elementair;0;0;0;0;0;0;0;0;0;0
elementen;0;0;0;0;0;0;0;0;0;0
elevatie;1;0;1;0;1;0;1;0;0;1
elf;0;0;0;0;0;0;1;1;1;0
elfde;0;0;0;0;0;0;0;0;0;0
eliminatie;0;1;0;0;0;1;1;1;1;0
elite;1;0;1;0;1;0;0;0;0;1
elke dag;0;0;0;0;0;0;0;0;0;0
elleboog;0;0;0;0;0;0;0;0;1;0
ellende;0;1;0;0;0;1;1;1;1;0
ellendig;0;1;0;0;0;1;0;1;1;0
ellips;0;0;0;0;0;0;0;0;0;0
ellipsoïde;0;0;0;0;0;0;0;0;0;0
elliptisch;0;0;0;0;0;0;0;0;0;0
emancipatie;1;0;0;0;1;0;0;0;0;1
embargo;0;1;0;0;0;0;0;0;0;0
embed;0;0;0;0;0;0;0;0;0;0
embleem;0;0;0;0;0;0;0;0;0;0
emblematisch;0;0;0;0;0;0;0;0;0;0
embolie;0;1;0;0;0;1;1;0;0;0
embryo;0;0;0;0;0;0;0;0;0;0
embryonale;0;0;0;0;0;0;0;0;0;0
emerald;0;0;0;0;0;0;0;0;0;0
emeritus;1;0;0;0;0;0;0;0;0;0
emigratie;0;0;0;0;0;0;0;0;0;0
emigreren;0;0;0;0;0;0;0;0;0;0
eminent;1;0;0;0;0;0;0;0;0;0
eminentie;1;0;1;0;0;0;0;0;0;0
emir;1;0;0;0;0;0;0;0;0;0
emissie;0;0;0;0;0;0;0;0;0;0
emmer;0;0;0;0;0;0;0;0;0;0
emotie;0;0;0;0;0;0;0;0;0;0
emotieve;0;0;0;0;0;0;0;0;0;0
emotionele;0;0;0;0;0;0;0;0;0;0
empathie;1;0;0;0;0;0;0;0;0;0
empirie;0;0;0;0;0;0;0;0;0;0
empirisch;0;0;0;0;0;0;0;0;0;0
emulsie;0;0;0;0;0;0;0;0;0;0
enablement;1;0;1;0;0;0;0;0;0;0
enclave;0;1;0;0;0;0;0;0;0;0
encyclopedie;1;0;1;0;0;0;0;0;0;0
endemisch;0;1;0;0;0;1;1;1;0;0
endocarditis;0;0;0;0;0;1;1;0;0;0
energie;0;0;0;0;0;0;0;0;0;0
energiek;1;0;0;0;0;0;0;0;0;0
engagement;0;0;0;0;0;0;0;0;0;0
engageren;0;0;0;0;0;0;0;0;0;0
engel;1;0;1;1;1;0;0;0;0;1
engelachtig;1;0;1;0;1;0;0;0;0;0
enigma;0;0;0;0;0;0;0;0;0;0
enkel;0;0;0;0;0;0;0;0;0;0
enorm;0;0;0;0;0;0;0;0;0;0
ensemble;1;0;1;0;0;0;0;0;0;0
enthousiasme;1;0;0;1;1;0;0;0;0;1
enthousiast;1;0;0;1;1;0;0;0;0;1
entomologie;0;0;0;0;0;0;0;0;0;0
entree;0;0;0;0;0;0;0;0;0;0
envelop;0;0;0;0;0;0;0;0;0;0
ephemeris;1;0;0;0;0;0;0;0;0;0
epidemie;0;1;0;1;0;1;1;1;1;1
epilepsie;0;1;0;0;0;0;0;0;0;0
epiloog;0;0;0;0;0;0;0;0;0;0
episch;1;0;0;0;0;0;0;0;0;0
episode;0;0;0;0;0;0;0;0;0;0
episodische;0;0;0;0;0;0;0;0;0;0
epistel;0;0;0;0;0;0;0;0;0;0
epitheton;0;0;0;0;0;0;0;0;0;0
equatoriaal;0;0;0;0;0;0;0;0;0;0
equivalent;0;0;0;0;0;0;0;0;0;0
erectie;0;0;0;0;0;0;0;0;0;0
erfelijk;0;0;0;0;0;0;0;0;0;0
erfelijkheid;0;0;0;0;0;0;0;0;0;0
erfgenaam;0;0;0;0;0;0;0;0;0;0
erfstuk;0;0;0;0;0;0;0;0;0;0
erger;0;1;0;0;0;1;1;0;0;0
ergeren;0;1;0;0;0;0;0;1;1;0
ergernis;0;1;0;0;0;0;0;1;1;0
ergo;0;0;0;0;0;0;0;0;0;0
erkend;0;0;0;0;0;0;0;0;0;0
erkennen;0;0;0;0;0;0;0;0;0;0
erkenning;1;0;0;0;0;0;0;0;0;0
erkentelijk;1;0;0;0;0;0;0;0;0;0
ernst;1;0;0;0;0;0;0;0;0;0
ernstig;1;0;0;0;0;0;0;0;0;0
eroderen;0;0;0;0;0;0;0;0;0;0
erosie;0;1;0;0;0;0;0;0;0;0
erotisch;1;1;1;1;1;0;0;0;0;1
erudiet;1;0;0;0;0;0;0;0;0;0
ervaren;1;0;1;0;0;0;0;0;0;0
ervaring;0;0;0;0;0;0;0;0;0;0
ervaringen;0;0;0;0;0;0;0;0;0;0
escorte;0;0;1;0;0;0;0;0;0;0
esoterisch;0;0;0;0;0;0;0;0;0;0
essayist;0;0;0;0;0;0;0;0;0;0
essence;0;0;0;0;0;0;0;0;0;0
essentieel;1;0;0;0;0;0;0;0;0;0
eten;1;0;0;0;0;0;0;0;0;0
ethanol;0;0;0;0;0;0;0;0;0;0
ether;0;0;0;0;0;0;0;0;0;0
etherisch;0;0;0;0;0;0;1;0;0;0
ethiek;1;0;0;0;0;0;0;0;0;0
ethisch;1;0;0;0;0;0;0;0;0;0
etiologie;0;0;0;0;0;0;0;0;0;0
etiquette;0;0;0;0;0;0;0;0;0;0
etnografie;0;0;0;0;0;0;0;0;0;0
ets;0;0;0;0;0;0;0;0;0;0
etsen;0;0;0;0;0;0;0;0;0;0
etymologie;0;0;0;0;0;0;0;0;0;0
eufemisme;0;0;0;0;0;0;0;0;0;0
eugenetica;0;0;0;0;0;0;0;0;0;0
euthanasia;0;1;0;0;0;1;1;0;0;0
evacuatie;0;1;0;0;0;0;0;0;0;0
evacueren;0;1;0;0;0;0;1;0;0;0
evanescence;0;0;0;1;0;1;0;0;0;0
evangelie;1;0;1;0;0;0;0;0;0;0
evangelisatie;0;0;0;0;0;0;0;0;0;0
evangelisch;0;0;0;0;0;0;0;0;0;0
evangelist;0;0;0;0;0;0;0;0;0;0
evenaar;0;0;0;0;0;0;0;0;0;0
evenement;0;0;0;0;0;0;0;0;0;0
evenmatig;0;0;0;0;0;0;0;0;0;0
